frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
95,0.783750,1,0.7702,2974.28,1577.20,2987.77,1626.67,54.23,47.74,ok,11
96,0.792083,1,0.5212,2974.74,1576.38,2987.20,1625.63,55.76,47.26,ok,12
97,0.800417,1,0.4235,2973.86,1576.55,2984.96,1625.48,54.72,46.64,ok,11
98,0.808750,1,0.6056,2973.95,1578.12,2983.46,1626.61,53.44,45.89,ok,10
99,0.817083,1,0.5242,2975.41,1576.51,2983.03,1624.37,56.20,44.86,ok,10
100,0.825417,1,0.6260,2974.19,1576.70,2979.61,1623.51,55.28,43.39,ok,10
101,0.833750,1,0.5640,2973.28,1575.87,2976.20,1621.34,55.46,41.69,ok,11
102,0.842083,1,0.6080,2973.77,1575.92,2974.02,1619.90,55.66,39.91,ok,13
103,0.850417,1,0.6162,2973.59,1576.35,2970.88,1618.70,55.06,38.21,ok,10
104,0.858750,1,0.4897,2972.85,1576.25,2967.32,1616.89,54.29,36.69,ok,11
105,0.867083,1,0.7634,2973.26,1575.65,2965.20,1614.80,55.82,35.57,ok,12
106,0.875417,1,0.7371,2973.14,1575.59,2963.15,1613.47,54.93,34.74,ok,10
107,0.883750,1,0.6801,2972.26,1575.88,2960.86,1612.70,54.34,34.11,ok,10
108,0.892083,1,0.5136,2973.06,1576.29,2961.08,1612.19,55.83,33.42,ok,10
109,0.900417,1,0.5259,2972.71,1576.60,2960.88,1611.74,55.04,32.66,ok,10
110,0.908750,0,,,,,,,31.75,rejected-jump,9
111,0.917083,0,,,,,,,30.64,rejected-jump,9
112,0.925417,1,0.4603,2973.07,1575.74,2964.13,1608.41,55.69,29.43,ok,10
113,0.933750,1,0.6717,2972.83,1576.28,2965.14,1608.09,55.17,28.22,ok,11
114,0.942083,1,0.7583,2973.35,1576.11,2966.91,1606.98,55.32,27.01,ok,12
115,0.950417,1,0.7399,2972.61,1575.99,2967.42,1606.14,54.28,26.07,ok,10
116,0.958750,1,0.6915,2972.30,1575.46,2968.13,1604.98,54.10,25.28,ok,10
117,0.967083,1,0.6666,2973.78,1575.62,2970.68,1604.64,55.20,24.65,ok,10
118,0.975417,1,0.7048,2973.47,1575.53,2971.33,1604.36,54.74,24.37,ok,11
119,0.983750,1,0.6685,2972.91,1575.78,2971.81,1604.52,54.93,24.27,ok,12
120,0.992083,1,0.6329,2973.48,1575.81,2973.26,1604.48,55.22,24.18,ok,11
121,1.000417,1,0.5316,2973.06,1575.73,2973.66,1604.32,54.52,24.13,ok,11
122,1.008750,1,0.5329,2973.13,1575.66,2974.42,1604.11,54.52,24.04,ok,11
123,1.017083,1,0.5874,2973.33,1575.99,2975.20,1604.40,55.29,24.00,ok,10
124,1.025417,1,0.4601,2972.79,1576.13,2975.15,1604.44,54.18,23.95,ok,10
125,1.033750,0,,,,,,,23.76,rejected-jump,9
126,1.042083,0,,,,,,,23.48,rejected-jump,9
127,1.050417,1,0.3181,2973.31,1575.79,2975.47,1603.49,54.87,23.16,ok,10
128,1.058750,1,0.3120,2973.78,1575.52,2975.59,1602.79,55.20,22.65,ok,10
129,1.067083,1,0.2765,2973.88,1576.81,2975.20,1603.66,54.43,22.18,ok,10
130,1.075417,1,0.2737,2973.57,1576.28,2974.32,1602.87,54.74,21.84,ok,10
131,1.083750,1,0.4337,2973.19,1576.34,2973.26,1602.68,54.27,21.49,ok,10
132,1.092083,1,0.5611,2973.21,1576.78,2972.46,1602.68,53.91,20.89,ok,10
133,1.100417,1,0.4080,2973.54,1576.83,2971.93,1602.43,54.07,20.43,ok,10
134,1.108750,1,0.4464,2972.88,1576.05,2970.63,1601.35,53.47,19.99,ok,12
135,1.117083,1,0.3900,2972.59,1575.99,2969.91,1601.28,53.61,19.78,ok,11
136,1.125417,1,0.3791,2972.54,1576.15,2969.83,1601.38,53.40,19.57,ok,11
137,1.133750,1,0.4128,2973.46,1575.93,2971.23,1601.02,54.24,19.31,ok,10
138,1.142083,1,0.4784,2973.08,1575.41,2971.58,1600.38,55.12,19.16,ok,10
139,1.150417,1,0.4610,2973.38,1575.83,2973.12,1600.64,54.68,19.19,ok,11
140,1.158750,1,0.2707,2973.13,1577.22,2974.35,1602.20,53.34,19.75,ok,10
141,1.167083,0,,,,,,,20.51,rejected-jump,9
142,1.175417,1,0.2701,2974.87,1576.69,2979.25,1601.82,55.55,21.29,ok,10
143,1.183750,1,0.4738,2974.54,1576.98,2980.51,1602.00,54.86,22.12,ok,10
144,1.192083,1,0.4805,2974.20,1576.54,2981.62,1601.22,54.99,22.78,ok,10
145,1.200417,1,0.5515,2974.14,1576.91,2982.91,1601.08,54.73,23.35,ok,11
146,1.208750,1,0.6827,2973.09,1576.75,2983.14,1600.35,53.91,23.88,ok,11
147,1.217083,1,0.7481,2973.30,1576.53,2984.48,1599.63,53.90,24.41,ok,11
148,1.225417,1,0.8466,2974.19,1576.42,2986.46,1598.76,54.49,24.72,ok,10
149,1.233750,1,0.8804,2973.70,1576.50,2986.88,1598.25,54.19,25.11,ok,10
150,1.242083,1,0.8209,2973.75,1576.50,2987.73,1597.71,54.09,25.49,ok,12
151,1.250417,1,0.8254,2974.01,1577.00,2988.78,1597.42,53.51,25.69,ok,10
152,1.258750,1,0.8526,2975.03,1577.34,2990.48,1597.24,54.82,26.01,ok,10
153,1.267083,1,0.7194,2975.14,1577.58,2991.34,1596.94,54.65,26.48,ok,11
154,1.275417,1,0.5020,2974.35,1577.93,2991.62,1596.87,53.70,27.28,ok,11
155,1.283750,1,0.8057,2974.72,1577.81,2993.44,1596.26,54.37,28.41,ok,11
156,1.292083,1,0.7971,2975.03,1577.86,2995.43,1596.32,53.92,29.96,ok,10
157,1.300417,1,0.7189,2975.15,1578.23,2997.63,1596.90,53.84,31.99,ok,10
158,1.308750,1,0.6554,2973.92,1578.30,2998.85,1597.24,51.77,34.38,ok,12
159,1.317083,1,0.7998,2975.53,1577.47,3003.34,1596.96,54.29,37.32,ok,12
160,1.325417,1,0.8137,2976.19,1577.28,3007.30,1597.38,55.38,40.68,ok,12
161,1.333750,1,0.8499,2977.09,1577.49,3011.81,1598.34,55.81,44.33,ok,11
162,1.342083,1,0.6033,2976.56,1577.95,3014.85,1599.55,54.49,47.95,ok,10
163,1.350417,1,0.5501,2977.60,1577.27,3019.42,1599.72,56.26,51.63,ok,10
164,1.358750,0,,,,,,,54.99,rejected-jump,9
165,1.367083,1,0.2910,2978.17,1578.49,3026.23,1602.24,54.90,57.99,ok,10
166,1.375417,1,0.5764,2978.21,1579.70,3028.66,1604.03,54.73,60.46,ok,10
167,1.383750,1,0.4878,2978.32,1579.15,3030.81,1604.02,54.66,62.58,ok,10
168,1.392083,1,0.5238,2977.63,1578.84,3031.77,1604.74,54.15,64.41,ok,10
169,1.400417,1,0.7193,2977.98,1578.53,3033.19,1605.45,54.37,65.77,ok,10
170,1.408750,1,0.6437,2978.27,1578.54,3034.04,1606.17,54.69,66.50,ok,10
171,1.417083,1,0.7615,2978.71,1578.57,3034.59,1606.73,55.64,66.76,ok,11
172,1.425417,1,0.7444,2978.79,1578.84,3034.22,1607.48,55.59,66.52,ok,11
173,1.433750,1,0.6604,2977.83,1578.87,3032.70,1607.84,55.50,66.09,ok,11
174,1.442083,1,0.6874,2977.50,1578.64,3031.78,1608.13,55.44,65.67,ok,10
175,1.450417,1,0.7304,2977.40,1580.11,3031.18,1610.77,53.49,65.64,ok,10
176,1.459167,1,0.6522,2977.76,1580.26,3031.16,1612.24,53.45,65.76,ok,12
177,1.467500,1,0.7418,2977.51,1578.84,3030.65,1612.44,54.02,66.14,ok,11
178,1.475833,1,0.7542,2977.54,1578.69,3030.52,1614.02,54.87,66.72,ok,11
179,1.484167,1,0.5430,2977.89,1578.78,3030.71,1616.02,55.05,67.40,ok,11
180,1.492500,1,0.3314,2977.98,1579.37,3030.74,1618.44,54.60,68.19,ok,10
181,1.500833,1,0.5172,2977.77,1578.93,3030.86,1620.02,55.00,69.36,ok,11
182,1.509167,1,0.7224,2977.61,1579.42,3031.28,1622.72,54.79,71.04,ok,11
183,1.517500,1,0.7475,2977.69,1578.93,3032.32,1624.57,55.02,72.97,ok,11
184,1.525833,1,0.8092,2977.89,1580.07,3033.47,1628.47,54.09,75.24,ok,10
185,1.534167,1,0.6945,2978.20,1579.30,3034.61,1630.49,55.01,77.49,ok,10
186,1.542500,1,0.5911,2978.67,1578.17,3035.75,1631.63,55.86,79.26,ok,12
187,1.550833,1,0.5743,2978.17,1579.20,3035.65,1634.50,54.77,80.65,ok,10
188,1.559167,1,0.6921,2978.24,1578.76,3036.11,1635.59,55.10,81.87,ok,11
189,1.567500,1,0.7297,2978.55,1578.79,3036.74,1637.14,56.17,83.07,ok,10
190,1.575833,1,0.7857,2978.74,1579.74,3037.29,1639.64,55.46,84.32,ok,10
